n_factors,n_epochs,lr_all,reg_all,val_rmse
50,20,0.002,0.02,0.8925837140715069
150,20,0.002,0.1,0.8928988137688086
100,50,0.02,0.02,0.8930135597569719
150,100,0.002,0.02,0.8930781353007509
100,20,0.002,0.1,0.8931450890450424
100,20,0.002,0.05,0.8935738880394561
20,20,0.002,0.2,0.8937038601858792
150,20,0.002,0.05,0.8937675276048892
50,20,0.002,0.2,0.8940073188213534
150,20,0.002,0.2,0.8944156164230195
50,100,0.002,0.02,0.8944275135809332
20,50,0.005,0.02,0.8945049449407054
100,20,0.002,0.2,0.89471935297192
100,100,0.01,0.02,0.8950739219991586
100,20,0.002,0.02,0.8951174918431879
100,100,0.002,0.02,0.8954149432196533
100,50,0.005,0.02,0.8961847904332793
150,20,0.002,0.02,0.8962748279093864
100,20,0.02,0.02,0.8966129353578025
100,50,0.01,0.02,0.8978882524731437
50,50,0.005,0.02,0.898495919598191
100,100,0.005,0.02,0.9000999753467332
20,50,0.02,0.05,0.9008983951913483
20,100,0.01,0.05,0.9028780126148689
50,20,0.02,0.02,0.910426198814431
20,20,0.02,0.02,0.9113217891312574
20,100,0.02,0.05,0.9146215525519005
50,50,0.01,0.02,0.9178205972169209
50,100,0.005,0.02,0.9197767751663732
20,50,0.01,0.02,0.9254840626782681
50,50,0.02,0.02,0.9258224614089899
50,100,0.02,0.02,0.926394494042038
50,100,0.01,0.02,0.9265452952353355
20,100,0.005,0.02,0.9283330379333501
20,50,0.02,0.02,0.9554990491913475
20,100,0.01,0.02,0.9564569844618579
20,100,0.02,0.02,0.9776211258674916
